00086 A0819   1 Acute gastroenteropathy due to other small round viruses     Acute gastroenteropathy due to other small round viruses
00087 A082    1 Adenoviral enteritis                                         Adenoviral enteritis
00088 A083    0 Other viral enteritis                                        Other viral enteritis
00089 A0831   1 Calicivirus enteritis                                        Calicivirus enteritis
00090 A0832   1 Astrovirus enteritis                                         Astrovirus enteritis
00091 A0839   1 Other viral enteritis                                        Other viral enteritis
00092 A084    1 Viral intestinal infection, unspecified                      Viral intestinal infection, unspecified
00093 A088    1 Other specified intestinal infections                        Other specified intestinal infections
00094 A09     1 Infectious gastroenteritis and colitis, unspecified          Infectious gastroenteritis and colitis, unspecified
00095 A15     0 Respiratory tuberculosis                                     Respiratory tuberculosis
00096 A150    1 Tuberculosis of lung                                         Tuberculosis of lung
00097 A154    1 Tuberculosis of intrathoracic lymph nodes                    Tuberculosis of intrathoracic lymph nodes
00098 A155    1 Tuberculosis of larynx, trachea and bronchus                 Tuberculosis of larynx, trachea and bronchus
00099 A156    1 Tuberculous pleurisy                                         Tuberculous pleurisy
00100 A157    1 Primary respiratory tuberculosis                             Primary respiratory tuberculosis
00101 A158    1 Other respiratory tuberculosis                               Other respiratory tuberculosis
00102 A159    1 Respiratory tuberculosis unspecified                         Respiratory tuberculosis unspecified
00103 A17     0 Tuberculosis of nervous system                               Tuberculosis of nervous system
00104 A170    1 Tuberculous meningitis                                       Tuberculous meningitis
00105 A171    1 Meningeal tuberculoma                                        Meningeal tuberculoma
00106 A178    0 Other tuberculosis of nervous system                         Other tuberculosis of nervous system
00107 A1781   1 Tuberculoma of brain and spinal cord                         Tuberculoma of brain and spinal cord
00108 A1782   1 Tuberculous meningoencephalitis                              Tuberculous meningoencephalitis
00109 A1783   1 Tuberculous neuritis                                         Tuberculous neuritis
00110 A1789   1 Other tuberculosis of nervous system                         Other tuberculosis of nervous system
00111 A179    1 Tuberculosis of nervous system, unspecified                  Tuberculosis of nervous system, unspecified
00112 A18     0 Tuberculosis of other organs                                 Tuberculosis of other organs
00113 A180    0 Tuberculosis of bones and joints                             Tuberculosis of bones and joints
00114 A1801   1 Tuberculosis of spine                                        Tuberculosis of spine
00115 A1802   1 Tuberculous arthritis of other joints                        Tuberculous arthritis of other joints
00116 A1803   1 Tuberculosis of other bones                                  Tuberculosis of other bones
00117 A1809   1 Other musculoskeletal tuberculosis                           Other musculoskeletal tuberculosis
00118 A181    0 Tuberculosis of genitourinary system                         Tuberculosis of genitourinary system
00119 A1810   1 Tuberculosis of genitourinary system, unspecified            Tuberculosis of genitourinary system, unspecified
00120 A1811   1 Tuberculosis of kidney and ureter                            Tuberculosis of kidney and ureter
00121 A1812   1 Tuberculosis of bladder                                      Tuberculosis of bladder
00122 A1813   1 Tuberculosis of other urinary organs                         Tuberculosis of other urinary organs
00123 A1814   1 Tuberculosis of prostate                                     Tuberculosis of prostate
00124 A1815   1 Tuberculosis of other male genital organs                    Tuberculosis of other male genital organs
00125 A1816   1 Tuberculosis of cervix                                       Tuberculosis of cervix
00126 A1817   1 Tuberculous female pelvic inflammatory disease               Tuberculous female pelvic inflammatory disease
00127 A1818   1 Tuberculosis of other female genital organs                  Tuberculosis of other female genital organs
00128 A182    1 Tuberculous peripheral lymphadenopathy                       Tuberculous peripheral lymphadenopathy
00129 A183    0 Tuberculosis of intestines, peritoneum and mesenteric glands Tuberculosis of intestines, peritoneum and mesenteric glands
00130 A1831   1 Tuberculous peritonitis                                      Tuberculous peritonitis
00131 A1832   1 Tuberculous enteritis                                        Tuberculous enteritis
00132 A1839   1 Retroperitoneal tuberculosis                                 Retroperitoneal tuberculosis
00133 A184    1 Tuberculosis of skin and subcutaneous tissue                 Tuberculosis of skin and subcutaneous tissue
00134 A185    0 Tuberculosis of eye                                          Tuberculosis of eye
00135 A1850   1 Tuberculosis of eye, unspecified                             Tuberculosis of eye, unspecified
00136 A1851   1 Tuberculous episcleritis                                     Tuberculous episcleritis
00137 A1852   1 Tuberculous keratitis                                        Tuberculous keratitis
00138 A1853   1 Tuberculous chorioretinitis                                  Tuberculous chorioretinitis
00139 A1854   1 Tuberculous iridocyclitis                                    Tuberculous iridocyclitis
00140 A1859   1 Other tuberculosis of eye                                    Other tuberculosis of eye
00141 A186    1 Tuberculosis of (inner) (middle) ear                         Tuberculosis of (inner) (middle) ear
00142 A187    1 Tuberculosis of adrenal glands                               Tuberculosis of adrenal glands
00143 A188    0 Tuberculosis of other specified organs                       Tuberculosis of other specified organs
00144 A1881   1 Tuberculosis of thyroid gland                                Tuberculosis of thyroid gland
00145 A1882   1 Tuberculosis of other endocrine glands                       Tuberculosis of other endocrine glands
00146 A1883   1 Tuberculosis of digestive tract organs, NEC                  Tuberculosis of digestive tract organs, not elsewhere classified
00147 A1884   1 Tuberculosis of heart                                        Tuberculosis of heart
00148 A1885   1 Tuberculosis of spleen                                       Tuberculosis of spleen
00149 A1889   1 Tuberculosis of other sites                                  Tuberculosis of other sites
00150 A19     0 Miliary tuberculosis                                         Miliary tuberculosis
00151 A190    1 Acute miliary tuberculosis of a single specified site        Acute miliary tuberculosis of a single specified site
00152 A191    1 Acute miliary tuberculosis of multiple sites                 Acute miliary tuberculosis of multiple sites
00153 A192    1 Acute miliary tuberculosis, unspecified                      Acute miliary tuberculosis, unspecified
00154 A198    1 Other miliary tuberculosis                                   Other miliary tuberculosis
00155 A199    1 Miliary tuberculosis, unspecified                            Miliary tuberculosis, unspecified
00156 A20     0 Plague                                                       Plague
00157 A200    1 Bubonic plague                                               Bubonic plague
00158 A201    1 Cellulocutaneous plague                                      Cellulocutaneous plague
00159 A202    1 Pneumonic plague                                             Pneumonic plague
00160 A203    1 Plague meningitis                                            Plague meningitis
00161 A207    1 Septicemic plague                                            Septicemic plague
00162 A208    1 Other forms of plague                                        Other forms of plague
00163 A209    1 Plague, unspecified                                          Plague, unspecified
00164 A21     0 Tularemia                                                    Tularemia
00165 A210    1 Ulceroglandular tularemia                                    Ulceroglandular tularemia
00166 A211    1 Oculoglandular tularemia                                     Oculoglandular tularemia
00167 A212    1 Pulmonary tularemia                                          Pulmonary tularemia
00168 A213    1 Gastrointestinal tularemia                                   Gastrointestinal tularemia
00169 A217    1 Generalized tularemia                                        Generalized tularemia
00170 A218    1 Other forms of tularemia                                     Other forms of tularemia
00171 A219    1 Tularemia, unspecified                                       Tularemia, unspecified
00172 A22     0 Anthrax                                                      Anthrax
00173 A220    1 Cutaneous anthrax                                            Cutaneous anthrax
00174 A221    1 Pulmonary anthrax                                            Pulmonary anthrax
00175 A222    1 Gastrointestinal anthrax                                     Gastrointestinal anthrax
00176 A227    1 Anthrax sepsis                                               Anthrax sepsis
00177 A228    1 Other forms of anthrax                                       Other forms of anthrax
00178 A229    1 Anthrax, unspecified                                         Anthrax, unspecified
00179 A23     0 Brucellosis                                                  Brucellosis
00180 A230    1 Brucellosis due to Brucella melitensis                       Brucellosis due to Brucella melitensis
00181 A231    1 Brucellosis due to Brucella abortus                          Brucellosis due to Brucella abortus
00182 A232    1 Brucellosis due to Brucella suis                             Brucellosis due to Brucella suis
00183 A233    1 Brucellosis due to Brucella canis                            Brucellosis due to Brucella canis
00184 A238    1 Other brucellosis                                            Other brucellosis
00185 A239    1 Brucellosis, unspecified                                     Brucellosis, unspecified
00186 A24     0 Glanders and melioidosis                                     Glanders and melioidosis
00187 A240    1 Glanders                                                     Glanders
00188 A241    1 Acute and fulminating melioidosis                            Acute and fulminating melioidosis
00189 A242    1 Subacute and chronic melioidosis                             Subacute and chronic melioidosis
00190 A243    1 Other melioidosis                                            Other melioidosis
00191 A249    1 Melioidosis, unspecified                                     Melioidosis, unspecified
00192 A25     0 Rat-bite fevers                                              Rat-bite fevers
00193 A250    1 Spirillosis                                                  Spirillosis
00194 A251    1 Streptobacillosis                                            Streptobacillosis
00195 A259    1 Rat-bite fever, unspecified                                  Rat-bite fever, unspecified
00196 A26     0 Erysipeloid                                                  Erysipeloid
00197 A260    1 Cutaneous erysipeloid                                        Cutaneous erysipeloid
00198 A267    1 Erysipelothrix sepsis                                        Erysipelothrix sepsis
00199 A268    1 Other forms of erysipeloid                                   Other forms of erysipeloid
00200 A269    1 Erysipeloid, unspecified                                     Erysipeloid, unspecified
00201 A27     0 Leptospirosis                                                Leptospirosis
00202 A270    1 Leptospirosis icterohemorrhagica                             Leptospirosis icterohemorrhagica
00203 A278    0 Other forms of leptospirosis                                 Other forms of leptospirosis
00204 A2781   1 Aseptic meningitis in leptospirosis                          Aseptic meningitis in leptospirosis
00205 A2789   1 Other forms of leptospirosis                                 Other forms of leptospirosis
00206 A279    1 Leptospirosis, unspecified                                   Leptospirosis, unspecified
00207 A28     0 Other zoonotic bacterial diseases, not elsewhere classified  Other zoonotic bacterial diseases, not elsewhere classified
00208 A280    1 Pasteurellosis                                               Pasteurellosis
00209 A281    1 Cat-scratch disease                                          Cat-scratch disease
00210 A282    1 Extraintestinal yersiniosis                                  Extraintestinal yersiniosis
00211 A288    1 Oth zoonotic bacterial diseases, not elsewhere classified    Other specified zoonotic bacterial diseases, not elsewhere classified
00212 A289    1 Zoonotic bacterial disease, unspecified                      Zoonotic bacterial disease, unspecified
00213 A30     0 Leprosy [Hansen's disease]                                   Leprosy [Hansen's disease]
00214 A300    1 Indeterminate leprosy                                        Indeterminate leprosy
00215 A301    1 Tuberculoid leprosy                                          Tuberculoid leprosy
00216 A302    1 Borderline tuberculoid leprosy                               Borderline tuberculoid leprosy
00217 A303    1 Borderline leprosy                                           Borderline leprosy
00218 A304    1 Borderline lepromatous leprosy                               Borderline lepromatous leprosy
00219 A305    1 Lepromatous leprosy                                          Lepromatous leprosy
00220 A308    1 Other forms of leprosy                                       Other forms of leprosy
00221 A309    1 Leprosy, unspecified                                         Leprosy, unspecified
00222 A31     0 Infection due to other mycobacteria                          Infection due to other mycobacteria
00223 A310    1 Pulmonary mycobacterial infection                            Pulmonary mycobacterial infection
00224 A311    1 Cutaneous mycobacterial infection                            Cutaneous mycobacterial infection
00225 A312    1 Dissem mycobacterium avium-intracellulare complex (DMAC)     Disseminated mycobacterium avium-intracellulare complex (DMAC)
00226 A318    1 Other mycobacterial infections                               Other mycobacterial infections
00227 A319    1 Mycobacterial infection, unspecified                         Mycobacterial infection, unspecified
00228 A32     0 Listeriosis                                                  Listeriosis
00229 A320    1 Cutaneous listeriosis                                        Cutaneous listeriosis
00230 A321    0 Listerial meningitis and meningoencephalitis                 Listerial meningitis and meningoencephalitis
00231 A3211   1 Listerial meningitis                                         Listerial meningitis
00232 A3212   1 Listerial meningoencephalitis                                Listerial meningoencephalitis
00233 A327    1 Listerial sepsis                                             Listerial sepsis
00234 A328    0 Other forms of listeriosis                                   Other forms of listeriosis
00235 A3281   1 Oculoglandular listeriosis                                   Oculoglandular listeriosis
00236 A3282   1 Listerial endocarditis                                       Listerial endocarditis
00237 A3289   1 Other forms of listeriosis                                   Other forms of listeriosis
00238 A329    1 Listeriosis, unspecified                                     Listeriosis, unspecified
00239 A33     1 Tetanus neonatorum                                           Tetanus neonatorum
00240 A34     1 Obstetrical tetanus                                          Obstetrical tetanus
00241 A35     1 Other tetanus                                                Other tetanus
00242 A36     0 Diphtheria                                                   Diphtheria
00243 A360    1 Pharyngeal diphtheria                                        Pharyngeal diphtheria
00244 A361    1 Nasopharyngeal diphtheria                                    Nasopharyngeal diphtheria
00245 A362    1 Laryngeal diphtheria                                         Laryngeal diphtheria
00246 A363    1 Cutaneous diphtheria                                         Cutaneous diphtheria
00247 A368    0 Other diphtheria                                             Other diphtheria
00248 A3681   1 Diphtheritic cardiomyopathy                                  Diphtheritic cardiomyopathy
00249 A3682   1 Diphtheritic radiculomyelitis                                Diphtheritic radiculomyelitis
00250 A3683   1 Diphtheritic polyneuritis                                    Diphtheritic polyneuritis
00251 A3684   1 Diphtheritic tubulo-interstitial nephropathy                 Diphtheritic tubulo-interstitial nephropathy
00252 A3685   1 Diphtheritic cystitis                                        Diphtheritic cystitis
00253 A3686   1 Diphtheritic conjunctivitis                                  Diphtheritic conjunctivitis
00254 A3689   1 Other diphtheritic complications                             Other diphtheritic complications
00255 A369    1 Diphtheria, unspecified                                      Diphtheria, unspecified
00256 A37     0 Whooping cough                                               Whooping cough
00257 A370    0 Whooping cough due to Bordetella pertussis                   Whooping cough due to Bordetella pertussis
00258 A3700   1 Whooping cough due to Bordetella pertussis without pneumonia Whooping cough due to Bordetella pertussis without pneumonia
00259 A3701   1 Whooping cough due to Bordetella pertussis with pneumonia    Whooping cough due to Bordetella pertussis with pneumonia
00260 A371    0 Whooping cough due to Bordetella parapertussis               Whooping cough due to Bordetella parapertussis
00261 A3710   1 Whooping cough due to Bordetella parapertussis w/o pneumonia Whooping cough due to Bordetella parapertussis without pneumonia
00262 A3711   1 Whooping cough due to Bordetella parapertussis w pneumonia   Whooping cough due to Bordetella parapertussis with pneumonia
00263 A378    0 Whooping cough due to other Bordetella species               Whooping cough due to other Bordetella species
00264 A3780   1 Whooping cough due to other Bordetella species w/o pneumonia Whooping cough due to other Bordetella species without pneumonia
00265 A3781   1 Whooping cough due to oth Bordetella species with pneumonia  Whooping cough due to other Bordetella species with pneumonia
00266 A379    0 Whooping cough, unspecified species                          Whooping cough, unspecified species
00267 A3790   1 Whooping cough, unspecified species without pneumonia        Whooping cough, unspecified species without pneumonia
00268 A3791   1 Whooping cough, unspecified species with pneumonia           Whooping cough, unspecified species with pneumonia
00269 A38     0 Scarlet fever                                                Scarlet fever
00270 A380    1 Scarlet fever with otitis media                              Scarlet fever with otitis media
00271 A381    1 Scarlet fever with myocarditis                               Scarlet fever with myocarditis
00272 A388    1 Scarlet fever with other complications                       Scarlet fever with other complications
00273 A389    1 Scarlet fever, uncomplicated                                 Scarlet fever, uncomplicated
00274 A39     0 Meningococcal infection                                      Meningococcal infection
00275 A390    1 Meningococcal meningitis                                     Meningococcal meningitis
00276 A391    1 Waterhouse-Friderichsen syndrome                             Waterhouse-Friderichsen syndrome
00277 A392    1 Acute meningococcemia                                        Acute meningococcemia
00278 A393    1 Chronic meningococcemia                                      Chronic meningococcemia
00279 A394    1 Meningococcemia, unspecified                                 Meningococcemia, unspecified
00280 A395    0 Meningococcal heart disease                                  Meningococcal heart disease
00281 A3950   1 Meningococcal carditis, unspecified                          Meningococcal carditis, unspecified
00282 A3951   1 Meningococcal endocarditis                                   Meningococcal endocarditis
00283 A3952   1 Meningococcal myocarditis                                    Meningococcal myocarditis
00284 A3953   1 Meningococcal pericarditis                                   Meningococcal pericarditis
00285 A398    0 Other meningococcal infections                               Other meningococcal infections
00286 A3981   1 Meningococcal encephalitis                                   Meningococcal encephalitis
00287 A3982   1 Meningococcal retrobulbar neuritis                           Meningococcal retrobulbar neuritis
00288 A3983   1 Meningococcal arthritis                                      Meningococcal arthritis
00289 A3984   1 Postmeningococcal arthritis                                  Postmeningococcal arthritis
00290 A3989   1 Other meningococcal infections                               Other meningococcal infections
00291 A399    1 Meningococcal infection, unspecified                         Meningococcal infection, unspecified
00292 A40     0 Streptococcal sepsis                                         Streptococcal sepsis
00293 A400    1 Sepsis due to streptococcus, group A                         Sepsis due to streptococcus, group A
00294 A401    1 Sepsis due to streptococcus, group B                         Sepsis due to streptococcus, group B
00295 A403    1 Sepsis due to Streptococcus pneumoniae                       Sepsis due to Streptococcus pneumoniae
00296 A408    1 Other streptococcal sepsis                                   Other streptococcal sepsis
00297 A409    1 Streptococcal sepsis, unspecified                            Streptococcal sepsis, unspecified
00298 A41     0 Other sepsis                                                 Other sepsis
00299 A410    0 Sepsis due to Staphylococcus aureus                          Sepsis due to Staphylococcus aureus
00300 A4101   1 Sepsis due to Methicillin susceptible Staphylococcus aureus  Sepsis due to Methicillin susceptible Staphylococcus aureus
00301 A4102   1 Sepsis due to Methicillin resistant Staphylococcus aureus    Sepsis due to Methicillin resistant Staphylococcus aureus
00302 A411    1 Sepsis due to other specified staphylococcus                 Sepsis due to other specified staphylococcus
00303 A412    1 Sepsis due to unspecified staphylococcus                     Sepsis due to unspecified staphylococcus
00304 A413    1 Sepsis due to Hemophilus influenzae                          Sepsis due to Hemophilus influenzae
00305 A414    1 Sepsis due to anaerobes                                      Sepsis due to anaerobes
00306 A415    0 Sepsis due to other Gram-negative organisms                  Sepsis due to other Gram-negative organisms
00307 A4150   1 Gram-negative sepsis, unspecified                            Gram-negative sepsis, unspecified
00308 A4151   1 Sepsis due to Escherichia coli [E. coli]                     Sepsis due to Escherichia coli [E. coli]
00309 A4152   1 Sepsis due to Pseudomonas                                    Sepsis due to Pseudomonas
00310 A4153   1 Sepsis due to Serratia                                       Sepsis due to Serratia
00311 A4159   1 Other Gram-negative sepsis                                   Other Gram-negative sepsis
00312 A418    0 Other specified sepsis                                       Other specified sepsis
00313 A4181   1 Sepsis due to Enterococcus                                   Sepsis due to Enterococcus
00314 A4189   1 Other specified sepsis                                       Other specified sepsis
00315 A419    1 Sepsis, unspecified organism                                 Sepsis, unspecified organism
00316 A42     0 Actinomycosis                                                Actinomycosis
00317 A420    1 Pulmonary actinomycosis                                      Pulmonary actinomycosis
00318 A421    1 Abdominal actinomycosis                                      Abdominal actinomycosis
00319 A422    1 Cervicofacial actinomycosis                                  Cervicofacial actinomycosis
00320 A427    1 Actinomycotic sepsis                                         Actinomycotic sepsis
00321 A428    0 Other forms of actinomycosis                                 Other forms of actinomycosis
00322 A4281   1 Actinomycotic meningitis                                     Actinomycotic meningitis
00323 A4282   1 Actinomycotic encephalitis                                   Actinomycotic encephalitis
00324 A4289   1 Other forms of actinomycosis                                 Other forms of actinomycosis
00325 A429    1 Actinomycosis, unspecified                                   Actinomycosis, unspecified
00326 A43     0 Nocardiosis                                                  Nocardiosis
00327 A430    1 Pulmonary nocardiosis                                        Pulmonary nocardiosis
00328 A431    1 Cutaneous nocardiosis                                        Cutaneous nocardiosis
00329 A438    1 Other forms of nocardiosis                                   Other forms of nocardiosis
00330 A439    1 Nocardiosis, unspecified                                     Nocardiosis, unspecified
00331 A44     0 Bartonellosis                                                Bartonellosis
00332 A440    1 Systemic bartonellosis                                       Systemic bartonellosis
00333 A441    1 Cutaneous and mucocutaneous bartonellosis                    Cutaneous and mucocutaneous bartonellosis
00334 A448    1 Other forms of bartonellosis                                 Other forms of bartonellosis
00335 A449    1 Bartonellosis, unspecified                                   Bartonellosis, unspecified
00336 A46     1 Erysipelas                                                   Erysipelas
00337 A48     0 Other bacterial diseases, not elsewhere classified           Other bacterial diseases, not elsewhere classified
00338 A480    1 Gas gangrene                                                 Gas gangrene
00339 A481    1 Legionnaires' disease                                        Legionnaires' disease
00340 A482    1 Nonpneumonic Legionnaires' disease [Pontiac fever]           Nonpneumonic Legionnaires' disease [Pontiac fever]
00341 A483    1 Toxic shock syndrome                                         Toxic shock syndrome
00342 A484    1 Brazilian purpuric fever                                     Brazilian purpuric fever
00343 A485    0 Other specified botulism                                     Other specified botulism
00344 A4851   1 Infant botulism                                              Infant botulism
00345 A4852   1 Wound botulism                                               Wound botulism
00346 A488    1 Other specified bacterial diseases                           Other specified bacterial diseases
00347 A49     0 Bacterial infection of unspecified site                      Bacterial infection of unspecified site
00348 A490    0 Staphylococcal infection, unspecified site                   Staphylococcal infection, unspecified site
00349 A4901   1 Methicillin suscep staph infection, unsp site                Methicillin susceptible Staphylococcus aureus infection, unspecified site
00350 A4902   1 Methicillin resis staph infection, unsp site                 Methicillin resistant Staphylococcus aureus infection, unspecified site
00351 A491    1 Streptococcal infection, unspecified site                    Streptococcal infection, unspecified site
00352 A492    1 Hemophilus influenzae infection, unspecified site            Hemophilus influenzae infection, unspecified site
00353 A493    1 Mycoplasma infection, unspecified site                       Mycoplasma infection, unspecified site
00354 A498    1 Other bacterial infections of unspecified site               Other bacterial infections of unspecified site
00355 A499    1 Bacterial infection, unspecified                             Bacterial infection, unspecified
00356 A50     0 Congenital syphilis                                          Congenital syphilis
00357 A500    0 Early congenital syphilis, symptomatic                       Early congenital syphilis, symptomatic
00358 A5001   1 Early congenital syphilitic oculopathy                       Early congenital syphilitic oculopathy
00359 A5002   1 Early congenital syphilitic osteochondropathy                Early congenital syphilitic osteochondropathy
00360 A5003   1 Early congenital syphilitic pharyngitis                      Early congenital syphilitic pharyngitis
00361 A5004   1 Early congenital syphilitic pneumonia                        Early congenital syphilitic pneumonia
00362 A5005   1 Early congenital syphilitic rhinitis                         Early congenital syphilitic rhinitis
00363 A5006   1 Early cutaneous congenital syphilis                          Early cutaneous congenital syphilis
00364 A5007   1 Early mucocutaneous congenital syphilis                      Early mucocutaneous congenital syphilis
00365 A5008   1 Early visceral congenital syphilis                           Early visceral congenital syphilis
00366 A5009   1 Other early congenital syphilis, symptomatic                 Other early congenital syphilis, symptomatic
00367 A501    1 Early congenital syphilis, latent                            Early congenital syphilis, latent
00368 A502    1 Early congenital syphilis, unspecified                       Early congenital syphilis, unspecified
00369 A503    0 Late congenital syphilitic oculopathy                        Late congenital syphilitic oculopathy
00370 A5030   1 Late congenital syphilitic oculopathy, unspecified           Late congenital syphilitic oculopathy, unspecified
00371 A5031   1 Late congenital syphilitic interstitial keratitis            Late congenital syphilitic interstitial keratitis
00372 A5032   1 Late congenital syphilitic chorioretinitis                   Late congenital syphilitic chorioretinitis
00373 A5039   1 Other late congenital syphilitic oculopathy                  Other late congenital syphilitic oculopathy
00374 A504    0 Late congenital neurosyphilis [juvenile neurosyphilis]       Late congenital neurosyphilis [juvenile neurosyphilis]
